trade_date,value,realized_trades,total_net,total_volume,win_rate,active_accounts
2024-08-12,25.0,6,851.971193,19140.88,1.0,1
2024-08-13,31.0,8,209.530517,7287.15,1.0,1
2024-08-14,30.0,5,2155.0175670000003,39668.42,1.0,1
2024-08-16,27.0,3,798.689222,75832.35,1.0,1
2024-08-17,25.0,1,-288.304282,211.7,0.0,1
2024-08-18,31.0,12,293.970095,37805.14,1.0,1
2024-08-19,28.0,5,322.085018,50327.34,1.0,1
2024-08-20,30.0,1,190.883281,4913.04,1.0,1
2024-08-21,26.0,54,636.9805700000001,54915.35,1.0,1
2024-08-23,34.0,3,996.201614,26010.45,1.0,1
2024-08-26,55.0,2,207.69445000000002,67264.19,1.0,1
2024-08-28,30.0,2,1325.076717,23665.510000000002,1.0,1
2024-08-30,34.0,1,253.055216,9739.38,1.0,1
2024-08-31,29.0,13,10.181018,2005.12,0.9230769230769231,1
2024-09-01,26.0,5,134.681237,7862.46,1.0,1
2024-09-04,27.0,8,1032.727397,94450.69,0.625,1
2024-09-06,22.0,38,-1106.276507,4056.43,0.0,1
2024-09-10,33.0,2,-220.352849,1780.54,0.0,1
2024-09-18,45.0,134,-883.102447,12622.0,0.0,1
2024-09-20,54.0,9,9485.434148,284571.81,0.8888888888888888,1
2024-09-21,54.0,23,36107.592489,165648.12,1.0,1
2024-09-23,50.0,1,324.143791,30334.3,1.0,1
2024-09-26,50.0,2,418.658204,60440.89000000001,1.0,1
2024-09-30,61.0,5,2669.577923,117281.06,1.0,1
2024-10-03,37.0,3,98.096046,6513.53,1.0,1
2024-10-05,49.0,24,5590.200172,505604.96,1.0,1
2024-10-06,50.0,5,109.44084799999999,60132.09,1.0,1
2024-10-08,49.0,33,5251.441856,414585.14,1.0,1
2024-10-09,49.0,3,374.92389000000003,60396.659999999996,1.0,1
2024-10-11,32.0,18,8735.208754,428910.68,1.0,1
2024-10-12,49.0,7,503.15399199999996,109716.35,1.0,1
2024-10-14,48.0,5,1891.948976,61916.020000000004,1.0,1
2024-10-15,65.0,4,1155.815951,41171.79,1.0,1
2024-10-16,73.0,3,205.402365,40224.32,1.0,1
2024-10-17,71.0,2,29.102584999999998,20035.36,0.5,1
2024-10-18,73.0,5,294.603287,110331.02,1.0,1
2024-10-20,73.0,11,347.320878,124528.3,1.0,2
2024-10-21,72.0,68,2434.096068,98293.43,1.0,1
2024-10-23,71.0,3,-70.980895,69974.15,0.0,1
2024-10-25,72.0,21,13123.521198999999,337880.19,1.0,2
2024-10-27,74.0,3,645.4295539999999,60665.02,1.0,1
2024-10-28,72.0,4,167.00482700000003,1500.9299999999998,1.0,1
2024-10-29,72.0,3,800.57673,1697.55,1.0,1
2024-10-30,77.0,8,8.331633,3891.9700000000003,0.875,1
2024-10-31,77.0,37,929.646244,815278.02,0.918918918918919,3
2024-11-01,75.0,10,1000.5583330000001,116016.8,0.6,2
2024-11-04,70.0,23,2697.265351,291843.23,1.0,2
2024-11-05,70.0,5,625.753072,150636.75,1.0,1
2024-11-06,70.0,9,2795.660411,63362.340000000004,0.7777777777777778,2
2024-11-07,77.0,60,4479.907082,56315.0,1.0,3
2024-11-08,75.0,16,-111.77482300000005,135317.99,0.375,2
2024-11-09,75.0,44,98.16591,17837.29,0.4318181818181818,1
2024-11-10,78.0,51,921.565351,198711.46,1.0,2
2024-11-11,76.0,96,6609.550501,415309.23,0.9583333333333334,3
2024-11-12,80.0,42,3343.693894,430587.23,0.8095238095238095,2
2024-11-13,84.0,32,7690.953017,444140.75,0.84375,4
2024-11-14,88.0,28,4398.144224,506461.42,1.0,2
2024-11-15,80.0,55,3908.3673,698263.1900000001,1.0,2
2024-11-16,86.0,58,2722.234273,146473.22,0.8275862068965517,4
2024-11-17,90.0,62,794.476677,291912.12,0.7903225806451613,3
2024-11-18,83.0,156,4282.061852,615142.15,0.7948717948717948,6
2024-11-19,90.0,167,2854.218101,320455.85,0.8982035928143712,4
2024-11-20,83.0,299,3885.938135,1023614.0599999999,0.7324414715719063,5
2024-11-21,82.0,255,1606.877607,261688.48,0.6470588235294118,4
2024-11-22,94.0,352,-18347.824263000002,1035049.05,0.59375,6
2024-11-23,93.0,149,2840.524501,238971.59,0.8590604026845637,3
2024-11-24,80.0,61,883.164598,209024.32,0.7540983606557377,3
2024-11-25,82.0,149,5418.205175,347874.32,0.7046979865771812,2
2024-11-26,79.0,128,978.2657850000002,332981.79,0.6875,2
2024-11-27,75.0,130,-3006.60966,1159708.17,0.5692307692307692,2
